session_id,bill_id,url
04,SB788,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=152
04,SB789,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=153
04,SB790,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=154
04,SB791,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=155
04,SB792,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=156
04,SB793,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=157
04,SB794,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=158
04,SB795,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=159
04,SB796,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=160
04,SB797,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=161
04,SB798,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=162
04,SB799,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=163
04,SB800,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=164
04,SB801,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=165
04,SB802,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=166
04,SB803,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=167
04,SB804,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=168
04,SB805,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=169
04,SB806,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=170
04,SB807,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=171
04,SB808,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=172
04,SB809,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=173
04,SB810,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=174
04,SB811,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=175
