UUID,session,bill_number
AZ2008H2663,2008 - Forty-eighth Legislature - Second Regular Session,HB2663
AZ2008H2759,2008 - Forty-eighth Legislature - Second Regular Session,HB2759
AZ2008HCR2010,2008 - Forty-eighth Legislature - Second Regular Session,HCR2010
AZ2008S1015,2008 - Forty-eighth Legislature - Second Regular Session,SB1015
AZ2008S1053,2008 - Forty-eighth Legislature - Second Regular Session,SB1053
AZ2008S1059,2008 - Forty-eighth Legislature - Second Regular Session,SB1059
AZ2008S1064,2008 - Forty-eighth Legislature - Second Regular Session,SB1064
AZ2008S1188,2008 - Forty-eighth Legislature - Second Regular Session,SB1188
AZ2008S1200,2008 - Forty-eighth Legislature - Second Regular Session,SB1200
AZ2008S1211,2008 - Forty-eighth Legislature - Second Regular Session,SB1211
AZ2008S1323,2008 - Forty-eighth Legislature - Second Regular Session,SB1323
AZ2008S1370,2008 - Forty-eighth Legislature - Second Regular Session,SB1370
AZ2008S1493,2008 - Forty-eighth Legislature - Second Regular Session,SB1493
AZ2009H2182,2009 - Forty-ninth Legislature - First Regular Session,HB2182
AZ2009H2230,2009 - Forty-ninth Legislature - First Regular Session,HB2230
AZ2009H2383,2009 - Forty-ninth Legislature - First Regular Session,HB2383
AZ2009H2384,2009 - Forty-ninth Legislature - First Regular Session,HB2384
AZ2009H2511,2009 - Forty-ninth Legislature - First Regular Session,HB2511
AZ2009H2573,2009 - Forty-ninth Legislature - First Regular Session,HB2573
AZ2009H2575,2009 - Forty-ninth Legislature - First Regular Session,HB2575
AZ2009H2579,2009 - Forty-ninth Legislature - First Regular Session,HB2579
AZ2009H2627,2009 - Forty-ninth Legislature - First Regular Session,HB2627
AZ2009HCR2010,2009 - Forty-ninth Legislature - First Regular Session,HCR2010
AZ2009HCR2026,2009 - Forty-ninth Legislature - First Regular Session,HCR2026
AZ2009S1006,2009 - Forty-ninth Legislature - First Regular Session,SB1006
AZ2009S1053,2009 - Forty-ninth Legislature - First Regular Session,SB1053
AZ2009S1074,2009 - Forty-ninth Legislature - First Regular Session,SB1074
AZ2009S1091,2009 - Forty-ninth Legislature - First Regular Session,SB1091
AZ2009S1109,2009 - Forty-ninth Legislature - First Regular Session,SB1109
AZ2009S1158,2009 - Forty-ninth Legislature - First Regular Session,SB1158
AZ2009S1223,2009 - Forty-ninth Legislature - First Regular Session,SB1223
AZ2009S1343,2009 - Forty-ninth Legislature - First Regular Session,SB1343
AZ2009S1344,2009 - Forty-ninth Legislature - First Regular Session,SB1344
AZ2009SCR1026,2009 - Forty-ninth Legislature - First Regular Session,SCR1026
AZ2010H2268,2010 - Forty-ninth Legislature - Second Regular Session,HB2268
AZ2010H2269,2010 - Forty-ninth Legislature - Second Regular Session,HB2269
AZ2010H2274,2010 - Forty-ninth Legislature - Second Regular Session,HB2274
AZ2010H2275,2010 - Forty-ninth Legislature - Second Regular Session,HB2275
AZ2010H2277,2010 - Forty-ninth Legislature - Second Regular Session,HB2277
AZ2010H2278,2010 - Forty-ninth Legislature - Second Regular Session,HB2278
AZ2010H2304,2010 - Forty-ninth Legislature - Second Regular Session,HB2304
AZ2010H2427,2010 - Forty-ninth Legislature - Second Regular Session,HB2427
AZ2010H2441,2010 - Forty-ninth Legislature - Second Regular Session,HB2441
AZ2010H2530,2010 - Forty-ninth Legislature - Second Regular Session,HB2530
AZ2010H2533,2010 - Forty-ninth Legislature - Second Regular Session,HB2533
AZ2010H2638,2010 - Forty-ninth Legislature - Second Regular Session,HB2638
AZ2010H2668,2010 - Forty-ninth Legislature - Second Regular Session,HB2668
AZ2010H2690,2010 - Forty-ninth Legislature - Second Regular Session,HB2690
AZ2010H2710,2010 - Forty-ninth Legislature - Second Regular Session,HB2710
AZ2010H2729,2010 - Forty-ninth Legislature - Second Regular Session,HB2729
AZ2010H2730,2010 - Forty-ninth Legislature - Second Regular Session,HB2730
AZ2010HCR2024,2010 - Forty-ninth Legislature - Second Regular Session,HCR2024
AZ2010HCR2046,2010 - Forty-ninth Legislature - Second Regular Session,HCR2046
AZ2010HCR2060,2010 - Forty-ninth Legislature - Second Regular Session,HCR2060
AZ2010S1024,2010 - Forty-ninth Legislature - Second Regular Session,SB1024
AZ2010S1031,2010 - Forty-ninth Legislature - Second Regular Session,SB1031
AZ2010S1068,2010 - Forty-ninth Legislature - Second Regular Session,SB1068
AZ2010S1220,2010 - Forty-ninth Legislature - Second Regular Session,SB1220
AZ2010S1384,2010 - Forty-ninth Legislature - Second Regular Session,SB1384
AZ2010S1393,2010 - Forty-ninth Legislature - Second Regular Session,SB1393
AZ2010S1422,2010 - Forty-ninth Legislature - Second Regular Session,SB1422
AZ2011H2049,2011 - Fiftieth Legislature - First Regular Session,HB2049
AZ2011H2082,2011 - Fiftieth Legislature - First Regular Session,HB2082
AZ2011H2085,2011 - Fiftieth Legislature - First Regular Session,HB2085
AZ2011H2177,2011 - Fiftieth Legislature - First Regular Session,HB2177
AZ2011H2240,2011 - Fiftieth Legislature - First Regular Session,HB2240
AZ2011H2241,2011 - Fiftieth Legislature - First Regular Session,HB2241
AZ2011H2242,2011 - Fiftieth Legislature - First Regular Session,HB2242
AZ2011H2243,2011 - Fiftieth Legislature - First Regular Session,HB2243
AZ2011H2252,2011 - Fiftieth Legislature - First Regular Session,HB2252
AZ2011H2253,2011 - Fiftieth Legislature - First Regular Session,HB2253
AZ2011H2255,2011 - Fiftieth Legislature - First Regular Session,HB2255
AZ2011H2290,2011 - Fiftieth Legislature - First Regular Session,HB2290
AZ2011H2291,2011 - Fiftieth Legislature - First Regular Session,HB2291
AZ2011H2292,2011 - Fiftieth Legislature - First Regular Session,HB2292
AZ2011H2303,2011 - Fiftieth Legislature - First Regular Session,HB2303
AZ2011H2304,2011 - Fiftieth Legislature - First Regular Session,HB2304
AZ2011H2335,2011 - Fiftieth Legislature - First Regular Session,HB2335
AZ2011H2447,2011 - Fiftieth Legislature - First Regular Session,HB2447
